1, c_00001, Rebecca Lawrence, 421, Sharpie pens, School Items, 1, $2.0, 2021-09-08 16:30:06, United States, Tacoma, Tesco, Cash, 42176, Y, 
8887, c_08887, Пантелеймон Деркач, 404, Chromebooks, School Items, 8, $960.0, 2021-07-22 20:03:42, Ukraine, селище Вилкове, Amazon, Cash, 47574, Y, 
8888, c_08888, Еріка Гаврюшенко, 213, Tracksuit, Clothes, 6, $294.0, 2021-12-19 19:14:09, Ukraine, село Коломия, Aldi, Electronic, 22314, Y, 
8889, c_08889, Нестор Нестеренко, 316, Shelves, Furniture, 2, $60.0, 2021-07-26 16:49:41, Ukraine, селище Феодосія, Amazon, Gift card, 58123, N, Insufficent funds
8890, c_08890, Єфрем Затовканюк, 109, TVs, Technology, 7, $8400.0, 2021-11-27 09:16:30, Ukraine, місто Стрий, Tesco, Electronic, 52604, N, Account locked
8891, c_08891, Валерій Тимчук, 418, Glue Stick, School Items, 9, $9.0, 2021-02-04 17:24:34, Ukraine, село Ланівці, Tesco, Card, 25592, Y, 
8892, c_08892, Сергій Калениченко, 416, Folders, School Items, 3, $3.0, 2021-12-07 20:17:16, Ukraine, місто Болград, Amazon, Cash, 58562, Y, 
8893, c_08893, Анастасія Авраменко, 109, TVs, Technology, 3, $3600.0, 2021-07-02 11:39:25, Ukraine, місто Хирів, Tesco, Electronic, 59555, Y, 
8894, c_08894, Назар Данькевич, 308, Chest, Furniture, 3, $240.0, 2021-07-02 11:39:25, Ukraine, хутір Рубіжне, Tesco, Internet Banking, 54175, N, Account locked
8895, c_08895, Демид Архипенко, 409, Crayons, School Items, 2, $6.0, 2021-12-23 08:20:39, Ukraine, село Вашківці, Tesco, Electronic, 71873, Y, 
8896, c_08896, Макар Гаєвський, 304, Cabinets, Furniture, 2, $160.0, 2021-12-23 08:20:39, Ukraine, місто Суходільськ, Tesco, Internet Banking, 76779, N, Account locked
8897, c_08897, Геннадій Бабиченко, 414, Notepads, School Items, 7, $21.0, 2021-03-05 14:51:58, Ukraine, хутір Прип'ять , Tesco, Gift card, 22777, Y, 
8898, c_08898, Орися Дрозд, 310, Ladders, Furniture, 5, $115.0, 2021-12-28 09:54:22, Ukraine, хутір Новоукраїнка, Amazon, Internet Banking, 37070, N, Account locked
8899, c_08899, Гаврило Рева, 406, Backpacks, School Items, 5, $145.0, 2021-12-28 09:54:22, Ukraine, хутір Нова Каховка, Amazon, Gift card, 41482, Y, 
8900, c_08900, Наталія Яковенко, 222, Earrings, Clothes, 1, $80.0, 2021-08-07 10:33:35, Ukraine, село Новий Буг, Tesco, Cash, 25511, Y, 
8901, c_08901, Роман Стельмах, 103, Microwaves, Technology, 4, $640.0, 2021-03-13 13:59:15, Ukraine, село Єнакієве, Tesco, Electronic, 80299, Y, 
8902, c_08902, Хома Верменич, 408, Rulers, School Items, 3, $6.0, 2021-11-25 20:29:59, Ukraine, селище Дунаївці, Tesco, Internet Banking, 50419, Y, 
8903, c_08903, Юстина Гречаник, 201, Underwear, Clothes, 2, $18.0, 2021-11-02 16:53:27, Ukraine, місто Торецьк, Tesco, Cash, 21945, Y, 
8904, c_08904, Христина Рубан, 423, Index cards, School Items, 2, $4.0, 2021-12-11 10:39:26, Ukraine, село Кам'янка (Черкаська область), Amazon, Electronic, 17338, Y, 
8905, c_08905, Василина Єременко, 408, Rulers, School Items, 2, $4.0, 2021-12-11 10:39:26, Ukraine, хутір Костянтинівка, Amazon, Gift card, 14518, N, Insufficent funds
eight thousand nine hundred and sixth, c_08906, Світлана Шаблій, 102, Phones, Technology, 6, $3600.0, 2021-10-04 20:47:53, Ukraine, селище Армянськ, alza.cz, Electronic, 69508, Y, 
8907, c_08907, Панас Дейнеко, 418, Glue Stick, School Items, 10, $10.0, 2021-07-04 16:19:12, Ukraine, місто П'ятихатки, Tesco, Gift card, 90865, N, Insufficent funds
8908, c_08908, Соломон Рудько, 202, Shoes, Clothes, 7, $420.0, 2021-12-22 11:06:10, Ukraine, хутір Верхньодніпровськ, Tesco, Electronic, 46761, Y, 
8909, c_08909, Богодар Батуринець, 201, Underwear, Clothes, 7, $63.0, 2021-12-22 11:06:10, Ukraine, хутір Тальне, Tesco, Gift card, 44353, Y, 
8910, c_08910, Богдан Аверченко, 103, Microwaves, Technology, 2, $320.0, 2021-10-28 11:52:40, Ukraine, село Голубівка, Tesco, Internet Banking, 94721, N, Account locked
8911, c_08911, Степан Романенко, 120, Virtual Assistant, Technology, 10, $1790.0, 2021-06-28 20:06:28, Ukraine, місто Привілля, Tesco, Electronic, 24876, Y, 
8912, c_08912, Мирослав Вишняк, 220, Bow-ties, Clothes, 3, $45.0, 2021-11-13 10:29:55, Ukraine, хутір Знам'янка, Tesco, Cash, 67951, Y, 
8913, c_08913, Ірина Артеменко, 313, Cupboard, Furniture, 3, $270.0, 2021-11-13 10:29:55, Ukraine, село Баранівка, Tesco, Electronic, 10662, Y, 
8914, c_08914, Ігор Щорс, 106, Drones, Technology, 7, $350.0, 2021-11-09 09:46:37, Ukraine, місто Скадовськ, Mediamarkt, Card, 59754, Y, 
8915, c_08915, Пантелеймон Бевзенко, 112, Smart fridges, Technology, 5, $1745.0, 2021-03-20 10:24:13, Ukraine, місто Теребовля, Tesco, Cash, 56029, Y, 
8916, c_08916, Марія Іваничук, 120, Virtual Assistant, Technology, 3, $537.0, 2021-12-10 13:53:50, Ukraine, село Скадовськ, Mediamarkt, Cash, 35272, Y, 
8917, c_08917, Микита Матяш, 311, Ottoman, Furniture, 8, $400.0, 2021-08-17 17:34:03, Ukraine, хутір Молочанськ, Tesco, Card, 55538, Y, 
8918, c_08918, Розалія Шовкопляс, 304, Cabinets, Furniture, 8, $640.0, 2021-12-22 14:48:33, Ukraine, хутір Інкерман, Mediamarkt, Internet Banking, 81816, Y, 
8919, c_08919, Богуслав Удовенко, 411, Calculators, School Items, 6, $360.0, 2021-11-15 10:53:03, Ukraine, село Амвросіївка, Tesco, Electronic, 98975, Y, 
8920, c_08920, Макар Мірошниченко, 223, Belts, Clothes, 6, $252.0, 2021-12-13 20:15:02, Ukraine, селище Золотоноша, Amazon, Gift card, 76657, Y, 
8921, c_08921, Богуслав Данькевич, 423, Index cards, School Items, 5, $10.0, 2021-11-05 17:22:16, Ukraine, селище Красноперекопськ, Mediamarkt, Internet Banking, 20002, Y, 
8922, c_08922, Гаврило Давимука, 203, Sandals, Clothes, 7, $210.0, 2021-12-26 14:46:10, Ukraine, село Снігурівка, Tesco, Gift card, 31844, Y, 
8923, c_08923, Єлисавета Бабак, 211, Glasses, Clothes, 7, $413.0, 2021-12-26 14:46:10, Ukraine, село Ладижин, Tesco, Internet Banking, 26716, Y, 
8924, c_08924, Володимир Юрчишин, 315, Grandfather clock, Furniture, 6, $3000.0, 2021-12-20 10:39:08, Ukraine, село Докучаєвськ, Amazon, Cash, 35629, N, Insufficent funds
8925, c_08925, Нестор Ґалаґан, 314, Cradle, Furniture, 10, $1290.0, 2021-07-25 10:08:03, Ukraine, селище Херсон, Tesco, Cash, 26367, Y, 
8926, c_08926, Дан Тимчук, 117, Fridges, Technology, 3, $810.0, 2021-12-04 20:53:30, Ukraine, селище Валки , Aldi, Electronic, 74702, Y, 
8927, c_08927, Богуслава Саєнко, 214, Suits, Clothes, 2, $240.0, 2021-07-10 18:11:26, Ukraine, місто Буринь, Tesco, Cash, 79436, Y, 
8928, c_08928, Едуард Гресь, 220, Bow-ties, Clothes, 2, $30.0, 2021-07-10 18:11:26, Ukraine, село Кам'янка-Дніпровська, Tesco, Card, 70736, Y, 
8929, c_08929, Геннадій Малишко, 418, Glue Stick, School Items, 7, $7.0, 2021-10-12 09:34:16, Ukraine, місто Городня, Amazon, Gift card, 70387, Y, 
8930, c_08930, Соломон Демʼянюк, 302, Recliners, Furniture, 1, $165.0, 2021-02-24 18:25:16, Ukraine, місто Нікополь, Tesco, Cash, 75468, Y, 
8931, c_08931, Климент Артюшенко, 312, Stool, Furniture, 7, $175.0, 2021-10-13 12:39:48, Ukraine, місто Золочів, Tesco, Card, 52872, Y, 
8932, c_08932, Віолетта Карпенко, 215, Jackets, Clothes, 9, $180.0, 2021-12-18 09:56:26, Ukraine, хутір Монастирище, Aldi, Electronic, 92524, Y, 
8933, c_08933, Златослава Саченко, 202, Shoes, Clothes, 9, $540.0, 2021-12-18 09:56:26, Ukraine, хутір П'ятихатки, Aldi, Gift card, 15829, Y, 
8934, c_08934, Стефан Жученко, 307, Dresser, Furniture, 4, $480.0, 2021-11-09 18:11:07, Ukraine, хутір Сєвєродонецьк, Tesco, Electronic, 15521, Y, 
8935, c_08935, Михайло Єсипенко, 105, Electronic Locks, Technology, 1, $85.0, 2021-12-06 17:02:15, Ukraine, хутір Ворожба, Amazon, Internet Banking, 84642, Y, 
8936, c_08936, Гліб Бабʼяк, 307, Dresser, Furniture, 8, $960.0, 2021-10-24 19:38:03, Ukraine, хутір Вугледар, Tesco, Electronic, 46968, Y, 
8937, c_08937, Йосип Андрощук, 213, Tracksuit, Clothes, 4, $196.0, 2021-07-15 14:46:14, Ukraine, місто Бахмут, Amazon, Electronic, 21505, Y, 
8938, c_08938, Яків Іщак, 312, Stool, Furniture, 4, $100.0, 2021-10-17 18:43:15, Ukraine, місто Вишневе , alza.cz, Internet Banking, 36766, Y, 
8939, c_08939, Сніжана Івасюк, 410, Markers, School Items, 10, $30.0, 2021-03-24 08:02:51, Ukraine, хутір Жидачів, Tesco, Electronic, 43835, Y, 
8940, c_08940, Орхип Міщенко, 219, Boxers, Clothes, 10, $50.0, 2021-11-16 10:44:21, Ukraine, хутір Балта, Tesco, Electronic, 10732, Y, 
8941, c_08941, Пріска Василашко, 100, Laptops, Technology, 10, $4500.0, 2021-11-16 10:44:21, Ukraine, село Комарно, Tesco, Gift card, 33108, N, Insufficent funds
8942, c_08942, Костянтин Деркач, 304, Cabinets, Furniture, 5, $400.0, 2021-10-14 19:49:31, Ukraine, село Чистякове, Tesco, Electronic, 75399, Y, 
8943, c_08943, Станіслав Тригуб, 120, Virtual Assistant, Technology, 5, $895.0, 2021-10-14 19:49:31, Ukraine, село Баштанка, Tesco, Internet Banking, 86018, N, Account locked
8944, c_08944, Любов Дашкевич, 111, Earbuds, Technology, 5, $600.0, 2021-12-14 09:11:31, Ukraine, село Снятин, Amazon, Gift card, 75858, Y, 
8945, c_08945, Венедикт Безбородько, 103, Microwaves, Technology, 5, $800.0, 2021-01-13 17:45:48, Ukraine, селище Кадіївка, Tesco, Internet Banking, 79804, Y, 
8946, c_08946, Єва Дашкевич, 314, Cradle, Furniture, 7, $903.0, 2021-11-12 13:24:49, Ukraine, селище Залізне, Tesco, Card, 41497, Y, 
8947, c_08947, Маруся Єрченко, 116, Cables, Technology, 5, $150.0, 2021-11-13 15:24:03, Ukraine, село Бахмач, Amazon, Cash, 90207, Y, 
8948, c_08948, Гліб Єременко, 411, Calculators, School Items, 7, $420.0, 2021-01-23 08:42:05, Ukraine, хутір Верхньодніпровськ, Tesco, Card, 87077, Y, 
8949, c_08949, Соломон Швачко, 108, Tablets, Technology, 3, $1800.0, 2021-07-03 11:29:29, Ukraine, хутір Бурштин , Tesco, Gift card, 21367, N, Insufficent funds
8950, c_08950, Григорій Макогон, 308, Chest, Furniture, 4, $320.0, 2021-07-24 18:33:00, Ukraine, хутір Кипуче, Amazon, Card, 85997, Y, 
8951, c_08951, Марія Журавель, 105, Electronic Locks, Technology, 4, $340.0, 2021-07-24 18:33:00, Ukraine, хутір Корець, Amazon, Electronic, 66110, N, Account locked
8952, c_08952, Венедикт Рябошапка, 300, Chairs, Furniture, 5, $300.0, 2021-08-14 19:52:23, Ukraine, місто Сіверськ, Tesco, Card, 37845, Y, 
8953, c_08953, Світлана Скирда, 101, Hard Drives, Technology, 5, $625.0, 2021-08-14 19:52:23, Ukraine, хутір Городенка, Tesco, Gift card, 74180, Y, 
8954, c_08954, Ольга Яремків, 419, Lunch Bags, School Items, 4, $28.0, 2021-12-19 17:20:03, Ukraine, село Мена , Tesco, Electronic, 81729, Y, 
8955, c_08955, Маруся Кармалюк, 212, Sunglasses, Clothes, 4, $316.0, 2021-12-19 17:20:03, Ukraine, хутір Рубіжне, Tesco, Card, 16275, N, Invalid card number
8956, c_08956, Пріска Рак, 414, Notepads, School Items, 7, $21.0, 2021-12-10 15:15:34, Ukraine, село Кодима, Aldi, Gift card, 34401, Y, 
8957, c_08957, Аарон Титаренко, 201, Underwear, Clothes, 2, $18.0, 2021-03-20 08:01:15, Ukraine, село Вознесенськ, Tesco, Card, 35779, N, Invalid zip code
8958, c_08958, Леонтій Шовкопляс, 114, Webcam, Technology, 5, $600.0, 2021-08-15 15:03:15, Ukraine, село Калинівка , Amazon, Gift card, 51713, Y, 
8959, c_08959, Аарон Забіла, 311, Ottoman, Furniture, 3, $150.0, 2021-11-24 09:43:43, Ukraine, хутір Прип'ять , bazos, Cash, 51833, Y, 
8960, c_08960, Амалія Вернидуб, 106, Drones, Technology, 5, $250.0, 2021-01-18 16:46:17, Ukraine, селище Шостка, Tesco, Card, 33286, Y, 
eight thousand nine hundred and sixty-first, c_08961, Одарка Андрейко, 225, Cap, Clothes, 6, $120.0, 2021-11-04 18:03:21, Ukraine, хутір Косів, Tesco, Electronic, 62619, Y, 
8962, c_08962, Яків Тягнибок, 214, Suits, Clothes, 2, $240.0, 2021-03-28 09:36:17, Ukraine, хутір Гайворон, Tesco, Internet Banking, 48948, Y, 
8963, c_08963, Данило Скорик, 303, Tables, Furniture, 3, $1050.0, 2021-11-21 17:28:51, Ukraine, місто Вишневе , bazos.sk, Gift card, 29887, Y, 
8964, c_08964, Панас Симоненко, 222, Earrings, Clothes, 10, $800.0, 2021-11-12 16:30:57, Ukraine, селище Алчевськ, Tesco, Gift card, 98426, Y, 
8965, c_08965, Теодор Гриценко, 120, Virtual Assistant, Technology, 1, $179.0, 2021-08-01 15:28:23, Ukraine, місто Борзна, Amazon, Card, 29064, N, Invalid zip code
8966, c_08966, Азар Макогон, 223, Belts, Clothes, 7, $294.0, 2021-11-18 16:19:32, Ukraine, селище Кіцмань, Tesco, Internet Banking, 47867, Y, 
8967, c_08967, Охрім Дейсун, 302, Recliners, Furniture, 7, $1155.0, 2021-11-18 16:19:32, Ukraine, хутір Здолбунів, Tesco, Cash, 18097, Y, 
8968, c_08968, Мартин Гаврилюк, 116, Cables, Technology, 3, $90.0, 2021-10-05 16:43:58, Ukraine, село Суми, Tesco, Electronic, 19112, Y, 
8969, c_08969, Ольга Андрусенко, 416, Folders, School Items, 6, $6.0, 2021-11-08 14:03:56, Ukraine, село Коростишів, Tesco, Cash, 94422, Y, 
8970, c_08970, Михайлина Абраменко, 406, Backpacks, School Items, 9, $261.0, 2021-11-01 17:14:26, Ukraine, хутір Вільнянськ, Amazon, Cash, 45578, Y, 
eight thousand nine hundred and seventy-first, c_08971, Петро Рева, 411, Calculators, School Items, 7, $420.0, 2021-06-24 20:05:24, Ukraine, село Львів, Tesco, Gift card, 72729, Y, 
8972, c_08972, Пантелеймон Голик, 308, Chest, Furniture, 2, $160.0, 2021-12-21 11:56:56, Ukraine, місто Ладижин, Amazon, Internet Banking, 12677, Y, 
8973, c_08973, Опанас Карпа, 311, Ottoman, Furniture, 2, $100.0, 2021-12-21 11:56:56, Ukraine, місто Чернігів, Amazon, Cash, 53526, Y, 
8974, c_08974, Валентин Лавренко, 213, Tracksuit, Clothes, 5, $245.0, 2021-11-06 11:04:33, Ukraine, село Хрестівка, Tesco, Internet Banking, 91584, N, Account locked
8975, c_08975, Розалія Рубець, 211, Glasses, Clothes, 5, $295.0, 2021-11-06 11:04:33, Ukraine, село Моршин, Tesco, Electronic, 54196, Y, 
8976, c_08976, Ірена Палій, 422, Lunchbox, School Items, 10, $70.0, 2021-09-04 15:20:56, Ukraine, місто Нікополь, Tesco, Card, 68850, Y, 
8977, c_08977, Степан Швачка, 315, Grandfather clock, Furniture, 1, $500.0, 2021-12-05 12:29:13, Ukraine, хутір Кипуче, Amazon, Electronic, 45717, N, Account locked
8978, c_08978, Роксолана Дацюк, 407, Bags, School Items, 1, $10.0, 2021-10-25 15:31:09, Ukraine, місто Старокостянтинів, Tesco, Electronic, 88183, N, Account locked
8979, c_08979, Пріска Литвин, 109, TVs, Technology, 2, $2400.0, 2021-12-24 15:23:34, Ukraine, селище Часів Яр, Aldi, Cash, 78776, Y, 
8980, c_08980, Віра Чередник, 313, Cupboard, Furniture, 1, $90.0, 2021-08-27 19:25:38, Ukraine, хутір Першотравенськ, Amazon, Electronic, 41811, Y, 
8981, c_08981, Демʼян Іщенко, 113, Mouse, Technology, 1, $80.0, 2021-03-14 13:55:15, Ukraine, село Глиняни, Tesco, Gift card, 79766, Y, 
eight thousand nine hundred and eighty-second, c_08982, Богдан Доценко, 115, USB, Technology, 1, $15.0, 2021-03-14 13:55:15, Ukraine, селище Корець, Tesco, Gift card, 35057, Y, 
8983, c_08983, Марко Бевзенко, 301, Couches, Furniture, 7, $2100.0, 2021-12-11 20:55:59, Ukraine, хутір Іловайськ, Tesco, Electronic, 86039, Y, 
8984, c_08984, Розалія Гупало, 219, Boxers, Clothes, 8, $40.0, 2021-11-04 18:24:59, Ukraine, селище Пологи , Tesco, Electronic, 36826, Y, 
8985, c_08985, Юхим Гречко, 406, Backpacks, School Items, 8, $232.0, 2021-11-04 18:24:59, Ukraine, місто Хорол , Tesco, Internet Banking, 49329, Y, 
8986, c_08986, Гаврило Деревʼянко, 200, Jeans, Clothes, 10, $290.0, 2021-12-07 11:02:31, Ukraine, хутір Алушта, Amazon, Cash, 63519, N, Insufficent funds
8987, c_08987, Веніямин Акуленко, 100, Laptops, Technology, 10, $4500.0, 2021-12-05 16:49:00, Ukraine, хутір Первомайський , Tesco, Electronic, 18921, N, Account locked
8988, c_08988, Вʼячеслав Артим, 303, Tables, Furniture, 10, $3500.0, 2021-12-05 16:49:00, Ukraine, селище Шаргород, Tesco, Gift card, 30486, Y, 
8989, c_08989, Варфоломій Дахно, 311, Ottoman, Furniture, 3, $150.0, 2021-08-12 14:52:34, Ukraine, місто Лиман , Amazon, Card, 30511, Y, 
8990, c_08990, Юхим Забашта, 414, Notepads, School Items, 2, $6.0, 2021-11-02 11:33:08, Ukraine, селище Баранівка, Tesco, Card, 56954, Y, 
8991, c_08991, Маруся Оліфіренко, 303, Tables, Furniture, 10, $3500.0, 2021-12-28 14:38:05, Ukraine, село Попасна, Tesco, Gift card, 99856, Y, 
8992, c_08992, Одарка Ватаманюк, 310, Ladders, Furniture, 10, $230.0, 2021-12-28 14:38:05, Ukraine, місто Верхньодніпровськ, Tesco, Electronic, 94683, N, Account locked
8993, c_08993, Ярема Яремчук, 208, Gowns, Clothes, 10, $290.0, 2021-09-21 19:48:24, Ukraine, місто Армянськ, Tesco, Electronic, 65015, N, Account locked
8994, c_08994, Едуард Непорожній, 217, Ties, Clothes, 8, $120.0, 2021-11-14 14:44:32, Ukraine, хутір Біляївка, Tesco, Card, 51674, Y, 
8995, c_08995, Надія Базавлученко, 106, Drones, Technology, 8, $400.0, 2021-11-14 14:44:32, Ukraine, село Пологи , Tesco, Gift card, 14972, Y, 
8996, c_08996, Мирослав Лагода, 106, Drones, Technology, 9, $450.0, 2021-03-05 18:38:09, Ukraine, село Рожище, Tesco, Internet Banking, 45422, Y, 
8997, c_08997, Євген Тарасенко, 225, Cap, Clothes, 2, $40.0, 2021-01-05 10:47:03, Ukraine, місто Каховка, Tesco, Electronic, 28497, Y, 
8998, c_08998, Алла Пʼятаченко, 225, Cap, Clothes, 2, $40.0, 2021-01-05 10:47:03, Ukraine, місто Червоносів, Tesco, Cash, 26408, Y, 
8999, c_08999, Едита Вдовиченко, 309, Beds, Furniture, 9, $4500.0, 2021-03-20 14:10:44, Ukraine, хутір Деражня, Tesco, Electronic, 43404, N, Account locked
9000, c_09000, Ігнат Шовкопляс, 309, Beds, Furniture, 8, $4000.0, 2021-12-13 13:46:42, Ukraine, село Феодосія, bazos, Electronic, 65488, N, Account locked
9001, c_09001, Родион Колобова, 412, Uniforms, School Items, 10, $200.0, 2021-07-27 10:44:23, Russia, ст. Александров Гай, Tesco, Card, 85505, Y, 
9002, c_09002, Мир Тарасов, 100, Laptops, Technology, 10, $4500.0, 2021-07-27 10:44:23, Russia, с. Новосибирск, Tesco, Internet Banking, 59231, N, Account locked
9003, c_09003, Кир Беляева, 403, Erasers, School Items, 9, $13.5, 2021-06-06 14:34:10, Russia, ст. Троицко-Печорск, Tesco, Electronic, 65057, Y, 
9004, c_09004, Богдан Кононова, 409, Crayons, School Items, 5, $15.0, 2021-07-23 10:42:06, Russia, ст. Ижевск, Tesco, Internet Banking, 77604, N, Account locked
9005, c_09005, Азарий Гуляев, 306, Bookcase, Furniture, 1, $150.0, 2021-05-01 19:06:24, Russia, г. Кижи, Tesco, Electronic, 85151, Y, 
9006, c_09006, Алина Кулагина, 413, Sketchbooks, School Items, 1, $3.0, 2021-05-01 19:06:24, Russia, г. Красноуфимск, Tesco, Electronic, 86276, N, Account locked
9007, c_09007, Нифонт Голубева, 203, Sandals, Clothes, 3, $90.0, 2021-09-18 13:10:48, Russia, д. Кизел, Tesco, Gift card, 69813, Y, 
9008, c_09008, Аким Куликов, 310, Ladders, Furniture, 3, $69.0, 2021-09-18 13:10:48, Russia, д. Семлячики, Tesco, Internet Banking, 61458, N, Account locked
9009, c_09009, Анатолий Дьячкова, 110, Remotes, Technology, 3, $75.0, 2021-12-19 18:25:53, Russia, клх Арзамас, Aldi, Gift card, 38167, Y, 
9010, c_09010, Эрнест Ефремова, 420, Gym Bag, School Items, 3, $36.0, 2021-12-19 18:25:53, Russia, д. Джейрах, Aldi, Internet Banking, 97115, Y, 
9011, c_09011, Мефодий Логинов, 118, Monitors, Technology, 1, $150.0, 2021-12-02 16:46:48, Russia, к. Мирный, Amazon, Electronic, 66252, Y, 
9012, c_09012, Иннокентий Воронцов, 312, Stool, Furniture, 8, $200.0, 2021-12-02 11:37:53, Russia, г. Гаврилов-Ям, Mediamarkt, Card, 85437, Y, 
9013, c_09013, Филарет Кудрявцев, 106, Drones, Technology, 4, $200.0, 2021-12-13 10:13:28, Russia, клх Усть-Ишим, Mediamarkt, Gift card, 96577, Y, 
9014, c_09014, Мирон Павлов, 200, Jeans, Clothes, 3, $87.0, 2021-11-20 19:06:56, Russia, к. Тула, Amazon, Internet Banking, 55275, Y, 
9015, c_09015, Аркадий Копылов, 406, Backpacks, School Items, 6, $174.0, 2021-11-26 16:25:39, Russia, д. Ессентуки, Mediamarkt, Electronic, 97626, Y, 
9016, c_09016, Бронислав Андреев, 423, Index cards, School Items, 2, $4.0, 2021-12-11 15:52:46, Russia, ст. Фатеж, Aldi, Cash, 70541, Y, 
9017, c_09017, Ипатий Маркова, 417, Pencil Pouch, School Items, 7, $35.0, 2021-03-10 15:29:18, Russia, с. Невинномысск, Tesco, Internet Banking, 62333, N, Account locked
nine thousand and eighteenth, c_09018, Януарий Сазонова, 202, Shoes, Clothes, 7, $420.0, 2021-12-24 17:45:10, Russia, п. Жиганск, Amazon, Card, 86237, Y, 
9019, c_09019, Ирина Носков, 416, Folders, School Items, 7, $7.0, 2021-12-24 17:45:10, Russia, г. Новая Игирма, Amazon, Cash, 70960, Y, 
9020, c_09020, Амос Шарова, 413, Sketchbooks, School Items, 4, $12.0, 2021-08-21 19:30:48, Russia, клх Сунтар, Tesco, Electronic, 18256, Y, 
9021, c_09021, Владилен Быкова, 222, Earrings, Clothes, 4, $320.0, 2021-06-23 16:27:53, Russia, п. Курильск, Tesco, Internet Banking, 99401, Y, 
9022, c_09022, Никандр Устинова, 311, Ottoman, Furniture, 4, $200.0, 2021-06-23 16:27:53, Russia, с. Ведено, Tesco, Cash, 42122, Y, 
9023, c_09023, Агата Хохлов, 310, Ladders, Furniture, 5, $115.0, 2021-01-21 15:41:50, Russia, д. Батайск, Tesco, Gift card, 59922, N, Insufficent funds
9024, c_09024, Ипполит Кабанов, 116, Cables, Technology, 3, $90.0, 2021-11-18 08:25:18, Russia, клх Верхний Тагил, Amazon, Gift card, 51893, N, Insufficent funds
nine thousand and twenty-fifth, c_09025, Савва Мухин, 410, Markers, School Items, 2, $6.0, 2021-12-04 20:16:13, Russia, ст. Одинцово, Tesco, Cash, 76974, Y, 
9026, c_09026, Сигизмунд Калинин, 304, Cabinets, Furniture, 3, $240.0, 2021-11-14 08:14:13, Russia, п. Голицыно, bazos, Card, 35071, N, Invalid CVV
9027, c_09027, Любовь Князева, 316, Shelves, Furniture, 9, $270.0, 2021-09-27 11:36:16, Russia, г. Ставрополь, Tesco, Card, 24334, Y, 
9028, c_09028, Устин Михеева, 110, Remotes, Technology, 3, $75.0, 2021-12-26 19:27:14, Russia, г. Балашиха, Tesco, Cash, 76312, N, Insufficent funds
9029, c_09029, Лазарь Семенов, 107, Computers, Technology, 3, $2100.0, 2021-12-26 19:27:14, Russia, с. Арсеньев, Tesco, Internet Banking, 70710, Y, 
9030, c_09030, Андроник Виноградова, 309, Beds, Furniture, 7, $3500.0, 2021-12-02 18:19:45, Russia, к. Крымск, Amazon, Internet Banking, 91317, Y, 
9031, c_09031, Кузьма Шилова, 206, Swimwear, Clothes, 1, $29.0, 2021-06-01 15:21:07, Russia, клх Казань, Tesco, Gift card, 85724, Y, 
9032, c_09032, Игнатий Никонова, 200, Jeans, Clothes, 10, $290.0, 2021-10-18 11:34:15, Russia, с. Северодвинск, Tesco, Cash, 68546, N, Insufficent funds
9033, c_09033, Фадей Борисова, 306, Bookcase, Furniture, 10, $1500.0, 2021-10-18 11:34:15, Russia, к. Гдов, Tesco, Internet Banking, 55993, Y, 
9034, c_09034, Милен Пономарев, 303, Tables, Furniture, 4, $1400.0, 2021-03-27 11:50:39, Russia, ст. Щельяюр, Tesco, Internet Banking, 25858, Y, 
9035, c_09035, Наталья Бирюков, 207, Kahkis, Clothes, 2, $30.0, 2021-12-24 08:25:06, Russia, д. Усть-Джегута, Tesco, Gift card, 59240, Y, 
9036, c_09036, Януарий Попова, 114, Webcam, Technology, 2, $240.0, 2021-12-24 08:25:06, Russia, клх Карабулак, Tesco, Cash, 85544, Y, 
9037, c_09037, Феликс Зайцев, 419, Lunch Bags, School Items, 3, $21.0, 2021-12-01 10:56:07, Russia, клх Петропавловск-Камчатский, Amazon, Internet Banking, 78051, N, Account locked
9038, c_09038, Григорий Беляев, 115, USB, Technology, 8, $120.0, 2021-11-05 20:37:51, Russia, к. Тольятти, Tesco, Electronic, 82348, Y, 
9039, c_09039, Поликарп Новикова, 106, Drones, Technology, 5, $250.0, 2021-12-02 19:10:20, Russia, ст. Самара, Tesco, Internet Banking, 43508, Y, 
9040, c_09040, Любовь Соловьева, 301, Couches, Furniture, 3, $900.0, 2021-10-08 14:13:30, Russia, д. Муром, Tesco, Electronic, 56363, Y, 
9041, c_09041, Нинель Рябов, 117, Fridges, Technology, 2, $540.0, 2021-07-01 13:31:40, Russia, п. Белореченск, Tesco, Electronic, 40531, Y, 
9042, c_09042, Фрол Чернова, 308, Chest, Furniture, 8, $640.0, 2021-11-24 10:52:31, Russia, клх Ачинск, Tesco, Gift card, 17299, Y, 
9043, c_09043, Аверьян Григорьев, 120, Virtual Assistant, Technology, 9, $1611.0, 2021-01-19 14:33:35, Russia, п. Дербент, Tesco, Cash, 26386, Y, 
nine thousand and forty-fourth, c_09044, Чеслав Карпова, 210, T-shirts, Clothes, 2, $20.0, 2021-10-09 18:02:16, Russia, г. Псебай, Tesco, Gift card, 45633, Y, 
nine thousand and forty-fifth, c_09045, Мирослав Голубева, 108, Tablets, Technology, 7, $4200.0, 2021-02-28 19:04:23, Russia, ст. Владикавказ, Tesco, Electronic, 95540, Y, 
